name,normalized_name,id
void,void,100
earth,earth,101
dirt,dirt,103
sand,sand,104
grass,grass,106
flowers,flowers,108-109
dirt,dirt,194
sand,sand,231
earth ground,earthground,280
grass,grass,293
pitfall,pitfall,294
dirt floor,dirtfloor,351-353
muddy floor,muddyfloor,354-355
dirt wall,dirtwall,356-367
earth ground,earthground,368
trapdoor,trapdoor,369-370
stone wall,stonewall,371-382
hole,hole,383
rope spot,ropespot,384
small hole,smallhole,385
stalagmites,stalagmites,386-387
lava hole,lavahole,388
lava hole,lavahole,389
stalagmites,stalagmites,390-391
hole,hole,392
wooden flooring,woodenflooring,405
white marble tile,whitemarbletile,406
black marble tile,blackmarbletile,407
trapdoor,trapdoor,408-409
stairs,stairs,410-411
sandstone tile,sandstonetile,412
stone tile,stonetile,413
tiled floor,tiledfloor,414
stone tile,stonetile,415
stone tile,stonetile,416-417
stone tile,stonetile,418
sandstone tile,sandstonetile,419
tiled floor,tiledfloor,420
sandstone floor,sandstonefloor,421-422
stairs,stairs,423
stone tile,stonetile,424
stone tile,stonetile,425-426
trapdoor,trapdoor,427
ladder,ladder,428
trapdoor,trapdoor,429
sewer grate,sewergrate,430
stone floor,stonefloor,431
stairs,stairs,432-433
wooden floor,woodenfloor,434-445
wooden floor,woodenfloor,446-447
wooden floor,woodenfloor,448-456
white stone tile,whitestonetile,457
wooden floor,woodenfloor,458
stairs,stairs,459
nothing special,nothingspecial,460
closed trapdoor,closedtrapdoor,461
open trapdoor,opentrapdoor,462
pedestal,pedestal,463
sandstone wall,sandstonewall,464
stone tile,stonetile,465
sandstone wall,sandstonewall,466
stone tile,stonetile,467
loose stone pile,loosestonepile,468
hole,hole,469
hole,hole,470
strange carving,strangecarving,471-474
hole,hole,475-476
ramp,ramp,477-478
hole,hole,479-480
loose stone pile,loosestonepile,481
hole,hole,482
loose ice pile,looseicepile,483
hole,hole,484
hole,hole,485
heap of snow,heapofsnow,486
ramp,ramp,487-488
hole,hole,489
water,water,493
lava,lava,598-601
snow,snow,670
ice,ice,671
tar,tar,708-711
cobbled pavement,cobbledpavement,724
sandstone floor,sandstonefloor,777-790
grass,grass,791
dirt,dirt,804
dirt,dirt,806
sand,sand,836
mountain,mountain,873-878
rocks,rocks,891-902
mountain,mountain,903-913
archway,archway,914-917
mountain,mountain,918-919
flat roof,flatroof,920-923
trapdoor,trapdoor,924
tiled roof,tiledroof,925-944
wooden roof,woodenroof,945-964
chess board,chessboard,965-966
mill board,millboard,967-1015
tic-tac-toe board,tic-tac-toeboard,1016-1024
brick wall,brickwall,1025-1035
framework wall,frameworkwall,1036-1048
stone wall,stonewall,1049-1059
sandstone wall,sandstonewall,1060-1070
sandstone,sandstone,1071
sandstone roof,sandstoneroof,1072-1083
broken wall,brokenwall,1084-1088
metal wall,metalwall,1089-1093
metal wall,metalwall,1095-1099
sandstone wall,sandstonewall,1100-1110
white stone wall,whitestonewall,1111-1119
archway,archway,1120-1127
ornamented wall,ornamentedwall,1128-1153
wall fountain,wallfountain,1154-1157
archway,archway,1158-1163
ornamented wall,ornamentedwall,1164-1169
paravent,paravent,1170-1175
ornamented wall,ornamentedwall,1176-1193
wall fountain,wallfountain,1194-1195
lava wall,lavawall,1196-1204
archway,archway,1205-1208
closed door,closeddoor,1209
closed door,closeddoor,1210
open door,opendoor,1211
closed door,closeddoor,1212
closed door,closeddoor,1213
open door,opendoor,1214
buttress,buttress,1215-1218
closed door,closeddoor,1219
open door,opendoor,1220
closed door,closeddoor,1221
open door,opendoor,1222
closed door,closeddoor,1223
open door,opendoor,1224
closed door,closeddoor,1225
open door,opendoor,1226
gate of expertise,gateofexpertise,1227
gate of expertise,gateofexpertise,1228
gate of expertise,gateofexpertise,1229
gate of expertise,gateofexpertise,1230
closed door,closeddoor,1231
closed door,closeddoor,1232
open door,opendoor,1233
closed door,closeddoor,1234
closed door,closeddoor,1235
open door,opendoor,1236
closed door,closeddoor,1237
open door,opendoor,1238
closed door,closeddoor,1239
open door,opendoor,1240
closed door,closeddoor,1241
open door,opendoor,1242
closed door,closeddoor,1243
open door,opendoor,1244
gate of expertise,gateofexpertise,1245
gate of expertise,gateofexpertise,1246
gate of expertise,gateofexpertise,1247
gate of expertise,gateofexpertise,1248
closed door,closeddoor,1249
closed door,closeddoor,1250
open door,opendoor,1251
closed door,closeddoor,6107
closed door,closeddoor,6247
open door,opendoor,6248
closed door,closeddoor,6238
open door,opendoor,6239
open door,opendoor,6108
closed door,closeddoor,6256
open door,opendoor,6257
closed door,closeddoor,6258
open door,opendoor,6259
closed door,closeddoor,6098
open door,opendoor,6099
closed door,closeddoor,6390
open door,opendoor,6391
closed door,closeddoor,6660
open door,opendoor,6661
closed door,closeddoor,1252
closed door,closeddoor,1253
open door,opendoor,1254
closed door,closeddoor,6392
open door,opendoor,6393
closed door,closeddoor,6669
open door,opendoor,6670
closed door,closeddoor,1255
open door,opendoor,1256
closed door,closeddoor,1257
open door,opendoor,1258
gate of expertise,gateofexpertise,1259
gate of expertise,gateofexpertise,1260
gate of expertise,gateofexpertise,1261
gate of expertise,gateofexpertise,1262
framework window,frameworkwindow,1263-1264
brick window,brickwindow,1265-1266
stone window,stonewindow,1267-1268
white stone wall window,whitestonewallwindow,1269-1272
sandstone window,sandstonewindow,1273-1276
wooden pillar,woodenpillar,1277
sail,sail,1278-1279
rudder of the boat,rudderoftheboat,1280-1283
drawbridge,drawbridge,1284
stone,stone,1285-1292
stone,stone,1293
small stone,smallstone,1294
stone,stone,1295
stone,stone,1296-1352
mossy stone,mossystone,1353
stone,stone,1354-1359
fountain,fountain,1360-1363
water basin,waterbasin,1364-1367
draw well,drawwell,1368-1369
marble fountain,marblefountain,1370-1377
small basin,smallbasin,1378
mill,mill,1379-1384
stairs,stairs,1385
stairs,stairs,6365
stairs,stairs,7972
stairs,stairs,6366
ladder,ladder,1386
magic forcefield,magicforcefield,1387
ramp,ramp,1388
ramp,ramp,1389
